Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,JPYINR,1001,OPTCUR,CE,51,JPYINR,JPYINR23FEB24C51,JPYINR 23rd FEB 51 CE,2024-02-23,1,0.0025
CDS,cde_fo,GBPINR,1004,OPTCUR,CE,111.75,GBPINR,GBPINR16FEB24C111.75,GBPINR 16th FEB 111.75 CE,2024-02-16,1,0.0025
CDS,cde_fo,JPYINR,1006,OPTCUR,PE,51,JPYINR,JPYINR23FEB24P51,JPYINR 23rd FEB 51 PE,2024-02-23,1,0.0025
CDS,cde_fo,EURINR,1008,OPTCUR,CE,94,EURINR,EURINR29JAN24C94,EURINR JAN 94 CE,2024-01-29,1,0.0025
CDS,cde_fo,11NSETEST,1009,FUTCUR,XX,-1,11NSETEST,11NSETEST29DEC36F,11NSETEST DEC36 FUT,2036-12-29,1,0.0025
CDS,cde_fo,EURINR,1010,FUTCUR,XX,-1,EURINR,EURINR26JUN24F,EURINR JUN FUT,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1011,OPTCUR,PE,94,EURINR,EURINR29JAN24P94,EURINR JAN 94 PE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1012,FUTCUR,XX,-1,EURINR,EURINR26SEP24F,EURINR 26th SEP FUT,2024-09-26,1,0.0025
CDS,cde_fo,USDINR,1013,OPTCUR,CE,77,USDINR,USDINR07MAR24C77,USDINR 7th MAR 77 CE,2024-03-07,1,0.0025
CDS,cde_fo,EURUSD,1014,FUTCUR,XX,-1,EURUSD,EURUSD26SEP24F,EURUSD 26th SEP FUT,2024-09-26,1,0.0001
CDS,cde_fo,EURINR,1015,FUTCUR,XX,-1,EURINR,EURINR26MAR24F,EURINR 26th MAR FUT,2024-03-26,1,0.0025
CDS,cde_fo,EURUSD,1016,FUTCUR,XX,-1,EURUSD,EURUSD26JUN24F,EURUSD JUN FUT,2024-06-26,1,0.0001
CDS,cde_fo,EURUSD,1017,FUTCUR,XX,-1,EURUSD,EURUSD26MAR24F,EURUSD 26th MAR FUT,2024-03-26,1,0.0001
CDS,cde_fo,GBPINR,1018,FUTCUR,XX,-1,GBPINR,GBPINR26JUN24F,GBPINR JUN FUT,2024-06-26,1,0.0025
CDS,cde_fo,GBPUSD,1019,FUTCUR,XX,-1,GBPUSD,GBPUSD26JUN24F,GBPUSD JUN FUT,2024-06-26,1,0.0001
CDS,cde_fo,USDINR,1020,OPTCUR,PE,77,USDINR,USDINR07MAR24P77,USDINR 7th MAR 77 PE,2024-03-07,1,0.0025
CDS,cde_fo,GBPINR,1021,OPTCUR,CE,99.5,GBPINR,GBPINR28MAR24C99.5,GBPINR 28th MAR 99.5 CE,2024-03-28,1,0.0025
CDS,cde_fo,GBPINR,1022,FUTCUR,XX,-1,GBPINR,GBPINR26SEP24F,GBPINR 26th SEP FUT,2024-09-26,1,0.0025
