Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,freeze_qty
MCX,mcx_fo,SILVER,254492,OPTFUT,CE,65250,SILVER,SILVER23FEB24C65250,SILVER 23rd FEB 65250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254493,OPTFUT,PE,65250,SILVER,SILVER23FEB24P65250,SILVER 23rd FEB 65250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254494,OPTFUT,CE,65500,SILVER,SILVER23FEB24C65500,SILVER 23rd FEB 65500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254495,OPTFUT,PE,65500,SILVER,SILVER23FEB24P65500,SILVER 23rd FEB 65500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254496,OPTFUT,CE,65750,SILVER,SILVER23FEB24C65750,SILVER 23rd FEB 65750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254497,OPTFUT,PE,65750,SILVER,SILVER23FEB24P65750,SILVER 23rd FEB 65750 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254498,OPTFUT,CE,66000,SILVER,SILVER23FEB24C66000,SILVER 23rd FEB 66000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254499,OPTFUT,PE,66000,SILVER,SILVER23FEB24P66000,SILVER 23rd FEB 66000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254500,OPTFUT,CE,66250,SILVER,SILVER23FEB24C66250,SILVER 23rd FEB 66250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254501,OPTFUT,PE,66250,SILVER,SILVER23FEB24P66250,SILVER 23rd FEB 66250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254502,OPTFUT,CE,66500,SILVER,SILVER23FEB24C66500,SILVER 23rd FEB 66500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254503,OPTFUT,PE,66500,SILVER,SILVER23FEB24P66500,SILVER 23rd FEB 66500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254504,OPTFUT,CE,66750,SILVER,SILVER23FEB24C66750,SILVER 23rd FEB 66750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254505,OPTFUT,PE,66750,SILVER,SILVER23FEB24P66750,SILVER 23rd FEB 66750 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254506,OPTFUT,CE,67000,SILVER,SILVER23FEB24C67000,SILVER 23rd FEB 67000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254507,OPTFUT,PE,67000,SILVER,SILVER23FEB24P67000,SILVER 23rd FEB 67000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254508,OPTFUT,CE,67250,SILVER,SILVER23FEB24C67250,SILVER 23rd FEB 67250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254509,OPTFUT,PE,67250,SILVER,SILVER23FEB24P67250,SILVER 23rd FEB 67250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254510,OPTFUT,CE,67500,SILVER,SILVER23FEB24C67500,SILVER 23rd FEB 67500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254511,OPTFUT,PE,67500,SILVER,SILVER23FEB24P67500,SILVER 23rd FEB 67500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254512,OPTFUT,CE,67750,SILVER,SILVER23FEB24C67750,SILVER 23rd FEB 67750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254513,OPTFUT,PE,67750,SILVER,SILVER23FEB24P67750,SILVER 23rd FEB 67750 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254514,OPTFUT,CE,68000,SILVER,SILVER23FEB24C68000,SILVER 23rd FEB 68000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254515,OPTFUT,PE,68000,SILVER,SILVER23FEB24P68000,SILVER 23rd FEB 68000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254516,OPTFUT,CE,68250,SILVER,SILVER23FEB24C68250,SILVER 23rd FEB 68250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254517,OPTFUT,PE,68250,SILVER,SILVER23FEB24P68250,SILVER 23rd FEB 68250 PE,2024-02-23,30,0.5,20
